gbif_id,name_latin,name_nb,basestreng,basestreng_codes,basestreng_layers,v23_minor_types,n_minor_types,v30_basestreng,alignment_status,notes
2704951,Festuca ovina,sauesvingel,s*[UF∙e|d],"[""s*""]","[""s*""]",T4-20,1,,pending,
2704951,Festuca ovina,sauesvingel,s+[KA∙d|c],"[""s+""]","[""s+""]","T4-10,T4-14",2,,pending,
2704951,Festuca ovina,sauesvingel,v*;s+[KA∙h|g],"[""v*"", ""s+""]","[""v*"", ""s+""]",T4-16,1,,pending,
2704951,Festuca ovina,sauesvingel,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-11,T4-15",2,,pending,
2704951,Festuca ovina,sauesvingel,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-12,1,,pending,
9094061,Ficaria verna,vårkål,s-[KA·h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2987999,Filipendula ulmaria,mjødurt,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
2988069,Filipendula vulgaris,knollmjødurt,s+[KA∙h|g],"[""s+""]","[""s+""]","T4-12,T4-16",2,,pending,
5281267,Fissidens adianthoides,saglommemose,v,"[""v""]","[""v""]",T4-20,1,,pending,
10448252,Flexitrichum flexicaule,storbust,s*[KA∙h|g],"[""s*""]","[""s*""]",T4-16,1,,pending,
3029817,Fragaria vesca,markjordbær,v,"[""v""]","[""v""]","T4-4,T4-8,T4-12,T4-16,T4-19,T4-20",6,,pending,
3029817,Fragaria vesca,markjordbær,v;s+[KAf|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-3,T4-7",2,,pending,
3029817,Fragaria vesca,markjordbær,v;s+[KA·f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-11,1,,pending,
3172358,Fraxinus excelsior,ask,m,"[""m""]","[""m""]",T4-18,1,,pending,
2914338,Galium boreale,hvitmaure,s+[KA∙f|e],"[""s+""]","[""s+""]","T4-7,T4-11",2,,pending,
2914338,Galium boreale,hvitmaure,s+[UF∙c|b],"[""s+""]","[""s+""]","T4-19,T4-20",2,,pending,
2914338,Galium boreale,hvitmaure,v,"[""v""]","[""v""]","T4-8,T4-12",2,,pending,
2914642,Galium odoratum,myske,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
9063248,Galium verum,gulmaure,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]","T4-12,T4-16",2,,pending,
2890920,Geranium sanguineum,blodstorkenebb,v;s*[KA∙h|g],"[""v"", ""s*""]","[""v"", ""s*""]","T4-8,T4-12,T4-16",3,,pending,
2891147,Geranium sylvaticum,skogstorkenebb,m;v;s+[KA∙f|e],"[""m"", ""v"", ""s+""]","[""m"", ""v"", ""s+""]",T4-18,1,,pending,
2891147,Geranium sylvaticum,skogstorkenebb,v,"[""v""]","[""v""]","T4-4,T4-8,T4-17,T4-19,T4-20",5,,pending,
2891147,Geranium sylvaticum,skogstorkenebb,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-3,T4-7",2,,pending,
5369701,Geum rivale,enghumleblom,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-18,1,,pending,
5238786,Gomphus clavatus,fiolgubbe,s+[KA∙h|g],"[""s+""]","[""s+""]",T4-4,1,,pending,
7845022,Gymnadenia conopsea,engbrudespore,s+[KA∙h|g],"[""s+""]","[""s+""]",T4-20,1,,pending,
7845022,Gymnadenia conopsea,engbrudespore,"s+[KA∙h|g],s+[UF∙c|b]","[""s+"", ""s+""]","[""s+"", ""s+""]",T4-19,1,,pending,
2650832,Gymnocarpium dryopteris,fugletelg,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-17,T4-18",2,,pending,
2650832,Gymnocarpium dryopteris,fugletelg,v,"[""v""]","[""v""]","T4-4,T4-19",2,,pending,
2650832,Gymnocarpium dryopteris,fugletelg,v*,"[""v*""]","[""v*""]",T4-3,1,,pending,
2650832,Gymnocarpium dryopteris,fugletelg,"v;m[O3-O2,NB]","[""v"", ""m""]","[""v"", ""m""]",T4-2,1,,pending,
2650832,Gymnocarpium dryopteris,fugletelg,"v;s+[UF∙b|c],m[O3-O2,NB]","[""v"", ""s+"", ""m""]","[""v"", ""s+"", ""m""]",T4-1,1,,pending,
2650841,Gymnocarpium robertianum,kalktelg,s+[KA·h|g],"[""s+""]","[""s+""]","T4-4,T4-8",2,,pending,
9245228,Hedlundia hybrida,rognasal,s*[KA∙f|e],"[""s*""]","[""s*""]","T4-7,T4-11",2,,pending,
9245228,Hedlundia hybrida,rognasal,s-[KA∙h|g],"[""s-""]","[""s-""]","T4-8,T4-12",2,,pending,
5371699,Hepatica nobilis,blåveis,s*[KA·f|e],"[""s*""]","[""s*""]",T4-7,1,,pending,
5371699,Hepatica nobilis,blåveis,v,"[""v""]","[""v""]","T4-4,T4-8",2,,pending,
5371699,Hepatica nobilis,blåveis,v;s*[KA∙f|e],"[""v"", ""s*""]","[""v"", ""s*""]",T4-3,1,,pending,
8605056,Hieracium murorum,skogsvever,v,"[""v""]","[""v""]",T4-4,1,,pending,
8605056,Hieracium murorum,skogsvever,v*,"[""v*""]","[""v*""]","T4-8,T4-12",2,,pending,
8605056,Hieracium murorum,skogsvever,v;s-[KA·d|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-2,1,,pending,
8605056,Hieracium murorum,skogsvever,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-7,T4-11",3,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,m*,"[""m*""]","[""m*""]",T4-4,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-3,T4-19",2,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,m;v,"[""m"", ""v""]","[""m"", ""v""]",T4-8,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,m;v;s+[KA∙f|e],"[""m"", ""v"", ""s+""]","[""m"", ""v"", ""s+""]",T4-18,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,s+[KA∙d|c],"[""s+""]","[""s+""]",T4-2,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,v,"[""v""]","[""v""]","T4-7,T4-17",2,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,v*,"[""v*""]","[""v*""]",T4-20,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,"v,s-[UF·f|g]","[""v"", ""s-""]","[""v"", ""s-""]","T4-11,T4-12",2,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,"v;s+[KA∙d|c],s-[UF·f|g]","[""v"", ""s+"", ""s-""]","[""v"", ""s+"", ""s-""]",T4-10,1,,pending,
8345757,Hylocomiadelphus triquetrus,storkransmose,v;s-[KA∙d|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-6,1,,pending,
2679704,Hylocomiastrum umbratum,skyggehusmose,v,"[""v""]","[""v""]","T4-1,T4-17",2,,pending,
2679696,Hylocomium splendens,etasjemose,m*;v,"[""m*"", ""v""]","[""m*"", ""v""]",T4-4,1,,pending,
2679696,Hylocomium splendens,etasjemose,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-1,T4-2",2,,pending,
2679696,Hylocomium splendens,etasjemose,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-5,T4-6,T4-8",3,,pending,
2679696,Hylocomium splendens,etasjemose,v,"[""v""]","[""v""]","T4-9,T4-18",2,,pending,
2679696,Hylocomium splendens,etasjemose,v*,"[""v*""]","[""v*""]","T4-3,T4-7,T4-10,T4-11,T4-12,T4-17,T4-19,T4-20",8,,pending,
7334631,Hylotelephium maximum,smørbukk,,,,T4-15,1,,pending,
3189486,Hypericum perforatum,prikkperikum,s-[KA∙h|f],"[""s-""]","[""s-""]",T4-12,1,,pending,
3093693,Hypochaeris maculata,flekkgrisøre,s-[KA·h|g],"[""s-""]","[""s-""]","T4-8,T4-12",2,,pending,
2684709,Juniperus communis,einer,v,"[""v""]","[""v""]","T4-8,T4-12,T4-16,T4-19,T4-20",5,,pending,
5356393,Lathyrus linifolius,knollerteknapp,s+[KA·d|c],"[""s+""]","[""s+""]",T4-2,1,,pending,
5356393,Lathyrus linifolius,knollerteknapp,s+[KA∙d|c],"[""s+""]","[""s+""]",T4-10,1,,pending,
5356393,Lathyrus linifolius,knollerteknapp,v,"[""v""]","[""v""]","T4-8,T4-12",2,,pending,
5356393,Lathyrus linifolius,knollerteknapp,v;s+[KA∙d|c],"[""v"", ""s+""]","[""v"", ""s+""]",T4-6,1,,pending,
5356393,Lathyrus linifolius,knollerteknapp,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-7,T4-11",3,,pending,
5356704,Lathyrus vernus,vårerteknapp,s-[KA∙h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2675719,Leucobryum glaucum,blåmose,m;v[BN],"[""m"", ""v""]","[""m"", ""v""]",T4-13,1,,pending,
2675719,Leucobryum glaucum,blåmose,v(BN),"[""v""]","[""v""]",T4-9,1,,pending,
2675719,Leucobryum glaucum,blåmose,v[BN],"[""v""]","[""v""]",T4-14,1,,pending,
5334220,Linnaea borealis,linnea,v,"[""v""]","[""v""]","T4-3,T4-4,T4-7,T4-8",4,,pending,
5334220,Linnaea borealis,linnea,v;s*[UF·d|e],"[""v"", ""s*""]","[""v"", ""s*""]",T4-6,1,,pending,
5334220,Linnaea borealis,linnea,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-1,T4-2",2,,pending,
2873865,Linum catharticum,vill-lin,"s-[KA∙h|g],s-[UF∙c|d]","[""s-"", ""s-""]","[""s-"", ""s-""]",T4-19,1,,pending,
2873865,Linum catharticum,vill-lin,"s-[KA∙h|g],s-[UF∙e|d]","[""s-"", ""s-""]","[""s-"", ""s-""]",T4-20,1,,pending,
5334277,Lonicera periclymenum,vivendel,v,"[""v""]","[""v""]","T4-3,T4-7",2,,pending,
5334277,Lonicera periclymenum,vivendel,v;s-[KA∙d|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-6",2,,pending,
5334259,Lonicera xylosteum,leddved,s-[KA∙h|g],"[""s-""]","[""s-""]",T4-8,1,,pending,
5334259,Lonicera xylosteum,leddved,"v;s-[KA∙h|g],s-[UF·b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-4,1,,pending,
4276912,Lophocolea heterophylla,stubbeblonde,v,"[""v""]","[""v""]",T4-1,1,,pending,
2689212,Lophozia ventricosa,grokornflik,v,"[""v""]","[""v""]",T4-5,1,,pending,
5357013,Lotus corniculatus,tiriltunge,s+[KA∙f|e],"[""s+""]","[""s+""]","T4-11,T4-15",2,,pending,
5357013,Lotus corniculatus,tiriltunge,s-[KA∙h|g],"[""s-""]","[""s-""]","T4-12,T4-16",2,,pending,
2700736,Luzula pilosa,hårfrytle,v,"[""v""]","[""v""]","T4-2,T4-4,T4-17",3,,pending,
2700736,Luzula pilosa,hårfrytle,v*,"[""v*""]","[""v*""]",T4-3,1,,pending,
2700736,Luzula pilosa,hårfrytle,v;s*[UF∙f|g],"[""v"", ""s*""]","[""v"", ""s*""]",T4-9,1,,pending,
2700736,Luzula pilosa,hårfrytle,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-1,1,,pending,
2700736,Luzula pilosa,hårfrytle,v;s-[UF∙d|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-5,T4-6,T4-7,T4-8",4,,pending,
2700736,Luzula pilosa,hårfrytle,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]","T4-10,T4-11,T4-12",3,,pending,
2688369,Lycopodium annotinum,stri kråkefot,v,"[""v""]","[""v""]",T4-5,1,,pending,
2688369,Lycopodium annotinum,stri kråkefot,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-1,T4-2",2,,pending,
8272844,Lysimachia europaea,skogstjerne,v*,"[""v*""]","[""v*""]",T4-17,1,,pending,
8272844,Lysimachia europaea,skogstjerne,v*;s+[UF∙b|c],"[""v*"", ""s+""]","[""v*"", ""s+""]","T4-1,T4-2,T4-3",3,,pending,
2769317,Maianthemum bifolium,maiblom,v*,"[""v*""]","[""v*""]",T4-17,1,,pending,
2769317,Maianthemum bifolium,maiblom,v*;s+[UF∙b|c],"[""v*"", ""s+""]","[""v*"", ""s+""]","T4-1,T4-2,T4-3",3,,pending,
2769317,Maianthemum bifolium,maiblom,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
2650999,Matteuccia struthiopteris,strutseving,"s+[KA∙g|f],t¤[KI·bc]","[""s+"", ""t""]","[""s+"", ""t""]",T4-18,1,,pending,
7693914,Melampyrum pratense,stormarimjelle,v*,"[""v*""]","[""v*""]",T4-1,1,,pending,
7693914,Melampyrum pratense,stormarimjelle,v*;s-[KA∙e|f],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-2,1,,pending,
7693914,Melampyrum pratense,stormarimjelle,v*;s-[UF∙d|e],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-5,1,,pending,
7693914,Melampyrum pratense,stormarimjelle,v;s-[UF∙d|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-6,1,,pending,
7693914,Melampyrum pratense,stormarimjelle,v;s-[UF∙f|g],"[""v"", ""s-""]","[""v"", ""s-""]","T4-9,T4-10,T4-11",3,,pending,
7331633,Melampyrum sylvaticum,småmarimjelle,"v;s-[KA∙d|c],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-2,1,,pending,
7331633,Melampyrum sylvaticum,småmarimjelle,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-3,T4-4",2,,pending,
7331633,Melampyrum sylvaticum,småmarimjelle,v;s-[UF∙d|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-6,T4-7,T4-8",3,,pending,
4118973,Melica nutans,hengeaks,v,"[""v""]","[""v""]",T4-4,1,,pending,
4118973,Melica nutans,hengeaks,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-3,T4-7",2,,pending,
4118973,Melica nutans,hengeaks,v;s-[KA∙h|g],"[""v"", ""s-""]","[""v"", ""s-""]","T4-8,T4-12",2,,pending,
2706196,Milium effusum,myskegras,v,"[""v""]","[""v""]",T4-18,1,,pending,
5282690,Mnium spinosum,strøtornemose,s+[KA∙f|e],"[""s+""]","[""s+""]",T4-3,1,,pending,
3085370,Moehringia trinervia,maurarve,s-[KA·f|e],"[""s-""]","[""s-""]",T4-3,1,,pending,
3085370,Moehringia trinervia,maurarve,s-[KA·h|g],"[""s-""]","[""s-""]","T4-4,T4-8",2,,pending,
5289877,Molinia caerulea,blåtopp,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-20,1,,pending,
5289877,Molinia caerulea,blåtopp,m;v;s+[UF∙c|b],"[""m"", ""v"", ""s+""]","[""m"", ""v"", ""s+""]",T4-19,1,,pending,
3139040,Mycelis muralis,skogsalat,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-3,1,,pending,
7580531,Neoorthocaulis attenuatus,piskskjeggmose,v,"[""v""]","[""v""]",T4-1,1,,pending,
7653258,Neoorthocaulis floerkei,lyngskjeggmose,"m;v*[O3-O1,SB-NB]","[""m"", ""v*""]","[""m"", ""v*""]","T4-5,T4-6",2,,pending,
7653258,Neoorthocaulis floerkei,lyngskjeggmose,v,"[""v""]","[""v""]","T4-2,T4-9",2,,pending,
7653258,Neoorthocaulis floerkei,lyngskjeggmose,v[O3-O2],"[""v""]","[""v""]",T4-1,1,,pending,
2816176,Neottia nidus-avis,fuglereir,s*[KA·h|g],"[""s*""]","[""s*""]",T4-4,1,,pending,
2816250,Neottia ovata,stortveblad,s*[KA∙h|g],"[""s*""]","[""s*""]","T4-4,T4-18,T4-19",3,,pending,
2689187,Obtusifolium obtusum,buttflik,v,"[""v""]","[""v""]","T4-1,T4-2",2,,pending,
2792588,Ophrys insectifera,flueblom,s*[KA∙h|g],"[""s*""]","[""s*""]","T4-8,T4-12",2,,pending,
2849427,Orchis mascula,vårmarihand,s-[KA∙h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
2651495,Oreopteris limbosperma,smørtelg,m[O3-O2],"[""m""]","[""m""]",T4-17,1,,pending,
2926612,Origanum vulgare,bergmynte,s-[KA∙h|g],"[""s-""]","[""s-""]","T4-8,T4-12",2,,pending,
2888310,Orthilia secunda,nikkevintergrønn,v,"[""v""]","[""v""]","T4-1,T4-4",2,,pending,
2888310,Orthilia secunda,nikkevintergrønn,v;s+-[UF·c|d],"[""v"", ""s+""]","[""v"", ""s+""]",T4-3,1,,pending,
2888310,Orthilia secunda,nikkevintergrønn,v;s-[KA∙d|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-2,1,,pending,
2888310,Orthilia secunda,nikkevintergrønn,"v;s-[KA∙d|c],s-[UF·d|e]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-6,1,,pending,
2888310,Orthilia secunda,nikkevintergrønn,v;s-[UF·d|e],"[""v"", ""s-""]","[""v"", ""s-""]","T4-7,T4-8",2,,pending,
8211958,Oxalis acetosella,gjøkesyre,v*,"[""v*""]","[""v*""]",T4-17,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v*;s+[UF·b|c],"[""v*"", ""s+""]","[""v*"", ""s+""]",T4-3,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,"v;s+[KA·d|c],s+[UF·b|c]","[""v"", ""s+"", ""s+""]","[""v"", ""s+"", ""s+""]",T4-2,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,"v;s+[KA·d|c],s+[UF·d|e]","[""v"", ""s+"", ""s+""]","[""v"", ""s+"", ""s+""]",T4-6,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v;s+[UF·b|c],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
8211958,Oxalis acetosella,gjøkesyre,v;s+[UF·d|e],"[""v"", ""s+""]","[""v"", ""s+""]","T4-7,T4-8",2,,pending,
5295911,Paris quadrifolia,firblad,v;s+[KA∙g|f],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
5295911,Paris quadrifolia,firblad,v;s+[KA∙h|g],"[""v"", ""s+""]","[""v"", ""s+""]",T4-4,1,,pending,
3032585,Parnassia palustris,jåblom,s+[KA·h|g],"[""s+""]","[""s+""]","T4-19,T4-20",2,,pending,
2651330,Phegopteris connectilis,hengeving,m;v,"[""m"", ""v""]","[""m"", ""v""]",T4-18,1,,pending,
2651330,Phegopteris connectilis,hengeving,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-17,1,,pending,
2651330,Phegopteris connectilis,hengeving,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-3,T4-4",3,,pending,
5284884,Picea abies,gran,m*;v,"[""m*"", ""v""]","[""m*"", ""v""]",T4-18,1,,pending,
5284884,Picea abies,gran,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-1,T4-2,T4-3,T4-4,T4-17,T4-19",6,,pending,
5284884,Picea abies,gran,m*;v*;s-[UF∙d|e],"[""m*"", ""v*"", ""s-""]","[""m*"", ""v*"", ""s-""]","T4-5,T4-6,T4-7",3,,pending,
5284884,Picea abies,gran,m;v*;s-[UF∙d|e],"[""m"", ""v*"", ""s-""]","[""m"", ""v*"", ""s-""]",T4-8,1,,pending,
5284884,Picea abies,gran,v,"[""v""]","[""v""]","T4-9,T4-10,T4-11,T4-12,T4-20",5,,pending,
9458333,Pilosella officinarum,hårsveve,v,"[""v""]","[""v""]",T4-16,1,,pending,
9458333,Pilosella officinarum,hårsveve,"v;[KA∙d|c],s-[UF∙e|d]","[""v"", ""s-""]","[""v"", ""s-""]",T4-10,1,,pending,
9458333,Pilosella officinarum,hårsveve,"v;[KA∙f|e],s-[UF∙e|d]","[""v"", ""s-""]","[""v"", ""s-""]",T4-11,1,,pending,
9458333,Pilosella officinarum,hårsveve,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-15,1,,pending,
9458333,Pilosella officinarum,hårsveve,v;s-[UF∙e|d],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
7622278,Pimpinella saxifraga,gjeldkarve,v;s*[KA∙h|g],"[""v"", ""s*""]","[""v"", ""s*""]","T4-12,T4-16",2,,pending,
5285637,Pinus sylvestris,furu,m*;v,"[""m*"", ""v""]","[""m*"", ""v""]",T4-5,1,,pending,
5285637,Pinus sylvestris,furu,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-7,T4-8,T4-9,T4-10,T4-11,T4-12,T4-13,T4-14,T4-15,T4-16,T4-20",11,,pending,
5285637,Pinus sylvestris,furu,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]","T4-6,T4-19",2,,pending,
5285637,Pinus sylvestris,furu,v,"[""v""]","[""v""]","T4-1,T4-2,T4-3,T4-4",4,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v*s-[KA∙e|f],"[""v*"", ""s-""]","[""v*"", ""s-""]",T4-17,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s*[UF∙d|e],"[""v"", ""s*""]","[""v"", ""s*""]","T4-6,T4-7",2,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s+[UF∙b|c],"[""v"", ""s+""]","[""v"", ""s+""]","T4-1,T4-18",2,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,"v;s-[KA∙e|f],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-2,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,"v;s-[KA∙g|h],s-[UF∙b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-3,1,,pending,
2688970,Plagiochila asplenioides,prakthinnemose,v;s-[UF∙b|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
2677623,Plagiomnium affine,skogfagermose,v,"[""v""]","[""v""]","T4-7,T4-8,T4-17,T4-19,T4-20",5,,pending,
2677623,Plagiomnium affine,skogfagermose,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-18,1,,pending,
2677623,Plagiomnium affine,skogfagermose,"v;s-[KA∙f|e],s-[UF·b|c]","[""v"", ""s-"", ""s-""]","[""v"", ""s-"", ""s-""]",T4-3,1,,pending,
2677623,Plagiomnium affine,skogfagermose,v;s-[UF·b|c],"[""v"", ""s-""]","[""v"", ""s-""]","T4-2,T4-4",2,,pending,
