minorType_id|language_id|key|value
T4-1|nb|<name>|Blåbærskog
T4-1|nb|Fysiognomi|Oftest skyggefulle skoger sterkt preget av blåbærdominans og på litt mer næringsrik grunn samt i mer oseaniske og fjellnære strøk også småbregner. Typisk er et sammenhengende mosedekke i bunnen, på fuktmark helt dominert av torvmoser. Arealmessig viktigst er granskog med sparsomt innslag av boreale lauvtrær. I BN også representert med eikeskog og bøkeskog, mens bjørkeskog dominerer store arealer i NB og landsdeler utenfor granas utbredelsesområde. Der kan også furu være dominant.
T4-1|nb|Økologisk karakteristikk|Feltsjiktet omfatter et begrenset antall arter med dominans av blåbær, og med tyttebær, smyle og noen få andre nøysomme arter. Forekommer på kalkfattig berggrunn, ulike eksposisjons- og helningsforhold og et jordsmonn som kjennetegnes av et velutviklet podsolprofil med råhumuslag øverst og som holder en relativt stabil fuktighet.
T4-1|nb|Terreng- og flyfotokarakteristikk|Alle terrengposisjoner, men mer frekvent i flate, jevnt hellende eller konkave terrengposisjoner enn i opplendte, mer grunnlendte partier. FF: Dominerende treslag og tresjiktstetthet er styrende for gjenkjenning i flyfoto, tekstur varierende. Farge mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog. Tekstur og farge ofte konsistent innen regioner.
T4-1|en|<name>|Lime-poor submesic forest
T4-1|en|Physiognomy|Most often shady forests strongly characterized by blueberry dominance and on slightly more nutrient-rich soil as well as in more oceanic and mountainous areas also small ferns. Typically, a continuous moss cover is at the bottom, on wetlands completely dominated by peat bogs. Most important in terms of area is spruce forest with a sparse element of boreal deciduous trees. In BN also represented with oak forest and beech forest, while birch forest dominates large areas in NB and parts of the country outside the spruce distribution area. Pine can also be dominant.
T4-1|en|Ecological characteristics|Field layer includes a limited number of species dominated by blueberries, and cranberries, wavy hair grass and a few other frugal species. Occurs on calcareous bedrock, various exposure and slope conditions and a soil that is characterized by a well-developed podsol profile with a layer of raw humus at the top and which maintains a relatively stable moisture.
T4-1|en|Terrain and aerial photo characteristics|All terrain positions, but more frequently in flat, evenly sloping or concave terrain positions than in upland, more shallow sections. FF: Dominant wood species and wood layer density are governing for recognition in aerial photography, texture varies. Color dark green in spruce forest, light green in deciduous forest, green-gray in pine forest. Texture and color often consistent within regions.
T4-10|nb|<name>|Svak lyng-lågurtskog
T4-10|nb|Fysiognomi|Oftest halvåpne skoger hvor røsslyng vanligvis spiller en svært viktig rolle. Bunnsjiktet er dominert av reinlaver i de mest kontinentale strøkene, andelen mose øker mot mer oseaniske strøk. Furu er dominerende treslag i mesteparten av landet. I BN, særlig på Sørlandet, kan eik være et viktig innslag. Oftest ren bjørkeskog opp mot fjellet. Små og saktevoksende granindivider kan finnes i denne kartleggingsenheten.
T4-10|nb|Økologisk karakteristikk|Artsfattig feltsjikt, typisk dominert av tørketolerante arter, i tillegg til røsslyng også bærlyng-arter. Furumose er viktigste moseart og dominerer ofte på veldrenert mark, mens furutorvmose er viktigste dominant på fuktmark. Heigråmose spiller stor rolle og er dominerende mengdeart i oseaniske strøk. Lys og grå reinlav er karakteristiske innslag i bunnsjiktet. Kartleggingsenheten er knyttet til relativt kalkfattig og tørkeutsatt grunn, men kalkinnholdet er høyere enn i lyngskog. Dette gir seg utslag i at det sammenliknet med denne kartleggingsenheten kommer inn noen få, spredte, litt mer kalkkrevende arter. Jordsmonnet er et podsolprofil, men dette er ikke velutviklet på svæt tynt jordsmonn.
T4-10|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig veldrenerte flater, rygger og toppområder. Kan dekke størresammenhengende områder på breelv- og elveavsetninger. Fargen varierer avhengig av dominerende treslag og tresjiktstetthet, men oftest med grønn-brun farge i skogglenner. Fargen gråner med høyere innslag av lyse lav eller heigråmose. Tekstur ofte varierende. Tekstur og farge ofte konsistent innen regioner.
T4-10|en|<name>|Intermediately lime-rich subxeric forest
T4-10|en|Physiognomy|Most often semi-open forests where heather usually plays a very important role. The bottom layer is dominated by reindeer lichens in the most continental areas, the proportion of moss increases towards more oceanic areas. Pine is the dominant tree species in most of the country. In BN, especially in Sørlandet, oak can be an important element. Most often pure birch forest up towards the mountain. Small and slow-growing spruce individuals can be found in this mapping unit.
T4-10|en|Ecological characteristics|Species-poor field layer, typically dominated by drought-tolerant species, in addition to heather also berry heather species. Pine moss is the most important moss species and often dominates on well-drained soil, while pine peat moss is most dominant on moist soil. Heigråmose plays a major role and is the dominant abundant species in oceanic areas. Light and gray reindeer lichen are characteristic elements in the bottom layer. The mapping unit is associated with relatively low-calcium and drought-prone soil, but the lime content is higher than in heather forest. This is reflected in the fact that, compared with this mapping unit, a few, scattered, slightly more lime-demanding species enter. The soil is a podsol profile, but this is not well developed on sweaty thin soil.
T4-10|en|Terrain and aerial photo characteristics|Occurs under different exposure and slope conditions, but especially well-drained surfaces, ridges and top areas. Can cover large contiguous areas on glacier and river deposits. The color varies depending on the dominant tree species and wood layer density, but most often with green-brown color in forest clearings. The color turns gray with higher elements of light lichen or heather gray moss. Texture often varying. Texture and color often consistent within regions.
T4-11|nb|<name>|Lyng-lågurtskog
T4-11|nb|Fysiognomi|Oftest halvåpne skoger hvor lyngpreget fra mer kalkfattige skoger med tilsvarende uttørkingsutsatthet er erstattet av et frodigere preg med urter og gras. Bunnsjiktet er dominert av reinlaver i de mest kontinentale strøkene; andelen mose øker mot mer oseaniske strøk. Furu er det dominerende treslaget i mesteparten av landet. I BN, særlig på Sørlandet, kan også eik være et viktig innslag. Oftest ren bjørkeskog opp mot fjellet.
T4-11|nb|Økologisk karakteristikk|Omfatter den tørrere og minst kalkrike delen av det som tradisjonelt betegnes kalkfuruskog; dvs. middels kalkrik furuskog med innslag av tørketålende lågurter. Forekomst av sterke kalkindikatorer, gjerne orkideer, mangler i lyng-lågurtskogen. Finnes ofte på lettforvitrede bergarter som amfibolitt, larvikitt, gabbro, basalt, rombeporfyr, gjerne på varme steder. Forekomster av lågurtfuruskog utenfor kalkområdene er ofte betinget av svak sigevannspåvirkning (sesongfuktig).
T4-11|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og toppområder. Farge i flyfoto varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte med lys grønn til grønn-brun farge i åpne partier. Dominans av moser og lyng gir mørkere farge. Fargen gråner med høyere innslag av lyse lav eller heigråmose. Tekstur ofte varierende. Tekstur og farge konsistent innen regioner.
T4-11|en|<name>|Moderately lime-rich subxeric forest
T4-11|en|Physiognomy|Most often semi-open forests where the heather character of more calcareous forests with similar dehydration exposure has been replaced by a more lush character with herbs and grass. The bottom layer is dominated by reindeer lichens in the most continental regions; the proportion of moss increases towards more oceanic areas. Pine is the dominant tree species in most of the country. In BN, especially in Sørlandet, oak can also be an important element. Most often pure birch forest up towards the mountain.
T4-11|en|Ecological characteristics|Includes the drier and least calcareous part of what is traditionally called calcareous pine forest; ie medium calcareous pine forest with elements of drought-tolerant low herbs. Occurrence of strong lime indicators, often orchids, is lacking in the heather-low-grass forest. Often found on slightly weathered rocks such as amphibolite, larvicite, gabbro, basalt, rhombic porphyry, often in warm places. Occurrences of low-grass pine forests outside the limestone areas are often due to weak leachate influence (seasonally moist).
T4-11|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and top areas. Color in aerial photography varies depending on the dominant tree species and wood layer density, but often with light green to green-brown color in open areas. Dominance of mosses and heather gives a darker color. The color turns gray with higher elements of light lichen or heather gray moss. Texture often varying. Texture and color consistent within regions.
T4-12|nb|<name>|Lyng-kalklågurtskog
T4-12|nb|Fysiognomi|Engpreget, relativt åpen, frodig, urte- og grasrik skog. Oftest dominert av furu, med skogkanter mot åpen kalkmark.
T4-12|nb|Økologisk karakteristikk|Omfatter den tørrere og mest kalkrike delen av det som tradisjonelt betegnes urterik kalkfuruskog, og innbefatter også utforminger der ”kalkeffekten” skyldes tilførsler av sigevann kombinert med periodevis uttørking og da gjerne som en mosaikk mellom en veldrenert og en fuktmarksutforming. Forekomst av sterke kalkindikatorer, bl.a. orkideer som mangler i lyng-lågurtskog, skiller T4–C-12 fra denne. Mange sterkt kalkskogtilknyttede sopper kan forekomme i naturtypen. I BN kan varmekjære lauvtrær og busker utgjøre en viktig del av tre- og busksjiktet. Jordsmonnet er oftest et tynt brunjordsprofil, som kan inneholde mye stein og grus, f.eks. kalkgrus og leirskifer.
T4-12|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig i konvekse lisider med gunstig eksposisjon. Farge i flyfoto varierer med dominerende treslag og tresjiktstetthet. Fargen er ofte brun til grønn-brun i åpne partier, lys grønn ved gras- eller urtedominans, mørkere grønn med busksjikt. Dominans av kalkgrus gir grånende til gråsvart farge. Tekstur ofte varierende. Tekstur og farge konsistent innen regioner.
T4-12|en|<name>|Strongly lime-rich subxeric forest
T4-12|en|Physiognomy|Meadow-like, relatively open, lush, herbaceous and grassy forest. Most often dominated by pine, with forest edges against open limestone soil.
T4-12|en|Ecological characteristics|"Includes the drier and most calcareous part of what is traditionally called herbaceous lime pine forest, and also includes designs where the ""lime effect"" is due to inputs of leachate combined with periodic drying and then often as a mosaic between a well-drained and a wetland design. Occurrence of strong lime indicators, i.a. orchids that are missing in heather-low-grass forest, separate T4 – C-12 from this. Many strongly limestone-associated fungi can occur in the habitat type. In BN, heat-loving deciduous trees and shrubs can form an important part of the tree and shrub layer. The soil is most often a thin brown soil profile, which can contain a lot of rock and gravel, e.g. limestone and clay shale."
T4-12|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially in convex lisides with favorable exposure. Color in aerial photography varies with dominant wood species and wood layer density. The color is often brown to green-brown in open areas, light green in grass or herb dominance, darker green with shrub layers. Dominance of lime gravel gives graying to gray-black color. Texture often varying. Texture and color consistent within regions.
T4-13|nb|<name>|Lavskog
T4-13|nb|Fysiognomi|Halvåpne eller oftest åpne skoger dominert av lyng og lav; mot fjellet ofte skog eller krattskog av vekstreduserte trær. Bunnsjiktet er ofte helt dominert av reinlaver. Furu er det dominerende treslaget i mesteparten av landet, men bjørk dominerer i fjellskogen de fleste steder.
T4-13|nb|Økologisk karakteristikk|Feltsjiktet inneholder få, nøysomme og svært uttørkingstolerante arter; først og fremst røsslyng, krekling og tyttebær. Furutorvmose forekommer på fuktmarksflekker, f.eks. i svake forsenkninger på slett mark. Kvitkrull, lys reinlav og grå reinlav er de viktigste artene i bunnsjiktet, men heigråmose kan være vanlig og/eller dominere i oseaniske strøk. T4-C-13 forekommer først og fremst på kalkfattig, tørr og skrinn mark med tynt jordsmonn over berg (hällmarkstallskog), men kan også dekke store, flate moreneavsetninger i kontinentale strøk. Der jordsmonnet er dypere utvikles podsolprofil.
T4-13|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger, toppområder og flate moreneavsetninger i kontinentale deler av landet. Farge varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre- og eventuelt busksjikt). Innslag av lyng gir mørkere farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-13|en|<name>|Lime-poor xeric forest
T4-13|en|Physiognomy|Semi-open or most often open forests dominated by heather and lichen; towards the mountain often forest or scrub forest of growth-reduced trees. The bottom layer is often completely dominated by reindeer lichen. Pine is the dominant tree species in most of the country, but birch dominates in the mountain forest in most places.
T4-13|en|Ecological characteristics|The field layer contains few, frugal and very drought tolerant species; primarily heather, cress and cranberries. Pine peat moss occurs on wetland patches, e.g. in slight depressions on plain ground. White curl, light reindeer lichen and gray reindeer lichen are the most important species in the bottom layer, but heather gray moss can be common and / or dominate in oceanic areas. T4-C-13 occurs primarily on calcareous, dry and barren soils with thin soil over rocks (Hällmarkstallskog), but can also cover large, flat moraine deposits in continental areas. Where the soil is deeper, podsol profile develops.
T4-13|en|Terrain and aerial photo characteristics|Occurs under different exposure and slope conditions, but especially on ridges, peak areas and flat moraine deposits in continental parts of the country. Color varies depending on the dominant tree species and tree layer density, but often mosaic between greyish white (low dominance) and green (tree and possibly shrub layer). Elements of heather give a darker color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-14|nb|<name>|Svak lav-lågurtskog
T4-14|nb|Fysiognomi|Halvåpne eller oftest åpne skoger dominert av lyng og lav; mot fjellet ofte skog eller krattskog av vekstreduserte trær. Bunnsjiktet er ofte helt dominert av reinlaver. Furu er det dominerende treslaget i mesteparten av landet, men bjørk dominerer i fjellskogen de fleste steder.
T4-14|nb|Økologisk karakteristikk|Feltsjiktet inneholder få, relativt nøysomme og svært uttørkingstolerante arter, først og fremst røsslyng, krekling og tyttebær. Furutorvmose forekommer på fuktmarksflekker. Kvitkrull, lys reinlav og grå reinlav er de viktigste artene i bunnsjiktet, men heigråmose kan være vanlig og/eller dominere i oseaniske strøk. T4-C-14 forekommer først og fremst på relativt kalkfattig, tørr og skrinn mark med tynt jordsmonn over berg (”hällmarkstallskog”), men finnes også på flate moreneavsetninger i kontinentale strøk. Der jordsmonnet er dypere utvikles podsolprofil. Forekomst av noen få, litt mindre nøysomme arter skiller T4-C-14 fra lavskog (T4-C-13).
T4-14|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og toppområder. FF: Farge i flyfoto varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre- og busksjikt). Innslag av lyng gir mørkere farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-14|en|<name>|Intermediately lime-rich xeric forest
T4-14|en|Physiognomy|Semi-open or most often open forests dominated by heather and lichen; towards the mountain often forest or scrub forest of growth-reduced trees. The bottom layer is often completely dominated by reindeer lichen. Pine is the dominant tree species in most of the country, but birch dominates in the mountain forest in most places.
T4-14|en|Ecological characteristics|"The field layer contains few, relatively frugal and very drought-tolerant species, primarily heather, cress and cranberries. Pine peat moss occurs on wetland patches. White curl, light reindeer lichen and gray reindeer lichen are the most important species in the bottom layer, but heather gray moss can be common and / or dominate in oceanic areas. T4-C-14 occurs primarily on relatively calcareous, dry and barren soils with thin soil over rocks (""hällmarkstallskog""), but is also found on flat moraine deposits in continental areas. Where the soil is deeper, podsol profile develops. Occurrence of a few, slightly less frugal species distinguishes T4-C-14 from low forest (T4-C-13)."
T4-14|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and top areas. FF: Color in aerial photos varies depending on the dominant tree species and tree layer density, but often mosaic between gray-white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-15|nb|<name>|Lav-lågurtskog
T4-15|nb|Fysiognomi|Åpen skog dominert av furu og med glissent feltsjikt karakterisert av lyng, urter og lav. I NB er T4-C-15 oftest en grunnlendt fjellbjørkeskog.
T4-15|nb|Økologisk karakteristikk|Feltsjiktet har innslag av relativt kalkkrevende og tørketolerante karplanter. Kartleggingsenheten opptrer ofte i veksling med lyng-lågurtskog (T4-C-11), lyng-kalklågurtskog (T4-C-12) og/eller lav-kalklågurtskog (T4-C-16), gjerne som randsoner mot, eller i mosaikk med nakent berg (T1) og åpen grunnlendt mark (T2). Floristisk karakteriseres T4-C-15 ved forekomst av ekstremt tørketålende, middels kalkkrevende arter som også er typiske for åpen grunnlendt mark (T2), som hvitbergknapp, blåklokke, bitterbergknapp, hårsveve, smørbukk og sølvmure. Oftest lavdominert bunnsjikt, men kan også ha et sparsomt utviklet bunnsjikt med mye strø.
T4-15|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og toppområder. FF: Farge i flyfoto varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre- og busksjikt). Innslag av lyng gir mørkere farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-15|en|<name>|Moderately lime-rich xeric forest
T4-15|en|Physiognomy|Open forest dominated by pine and with a glistening field layer characterized by heather, herbs and lichen. In NB, T4-C-15 is most often a shallow mountain birch forest.
T4-15|en|Ecological characteristics|The field layer has elements of relatively lime-demanding and drought-tolerant vascular plants. The mapping unit often alternates with heather-low-grass forest (T4-C-11), heather-low-limestone forest (T4-C-12) and / or low-limestone low-grass forest (T4-C-16), often as marginal zones towards, or in mosaic with bare rock (T1) and open shallow ground (T2). Floristically, T4-C-15 is characterized by the presence of extremely drought-tolerant, medium-lime-demanding species that are also typical of open shallow ground (T2), such as white mountain button, bluebell, bitterberg button, hair float, butterfly and silver wall. Most often low-dominated bottom layer, but can also have a sparsely developed bottom layer with a lot of litter.
T4-15|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and top areas. FF: Color in aerial photos varies depending on the dominant tree species and tree layer density, but often mosaic between gray-white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-16|nb|<name>|Lav-kalklågurtskog
T4-16|nb|Fysiognomi|Åpen skog, oftest dominert av furu og med glissent feltsjikt karakterisert av urter og lav. I NB er T4-C-16 oftest en grunnlendt fjellbjørkeskog.
T4-16|nb|Økologisk karakteristikk|Feltsjiktet har innslag av svært kalkkrevende og tørketolerante karplanter. Kartleggingsenheten opptrer ofte i veksling med lyng-lågurtskog (T4-C-11), lyng-kalklågurtskog (T4-C-12) og lav-lågurtskog (T4-C-15), gjerne som randsoner mot, eller i mosaikk med nakent berg (T1) og åpen grunnlendt mark (T2). Forekommer oftest på grunnlendt mark på kalkrike bergarter. Oftest lavdominert bunnsjikt, men kan også ha et sparsomt utviklet bunnsjikt med mye strø.
T4-16|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på kalkrygger, gjerne i karstlandskap. Fargen varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre og busksjikt). Innslag av lyng gir mørkere farge, i mosaikk med nakent berg ofte mer grålig farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen regioner.
T4-16|en|<name>|Strongly lime-rich xeric forest
T4-16|en|Physiognomy|Open forest, most often dominated by pine and with a glistening field layer characterized by herbs and lichen. In NB, T4-C-16 is most often a shallow mountain birch forest.
T4-16|en|Ecological characteristics|The field layer has elements of very lime-demanding and drought-tolerant vascular plants. The mapping unit often alternates with heather-low-grass forest (T4-C-11), heather-lime-low-grass forest (T4-C-12) and low-low-grass forest (T4-C-15), often as marginal zones towards, or in mosaics with bare rock (T1) and open shallow ground (T2). Occurs most often on shallow ground on calcareous rocks. Most often low-dominated bottom layer, but can also have a sparsely developed bottom layer with a lot of litter.
T4-16|en|Terrain and aerial photo characteristics|Occurs under different exposure and slope conditions, but especially on limestone ridges, often in karst landscapes. The color varies depending on the dominant tree species and tree layer density, but often mosaic between greyish white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color, in mosaic with bare rock often more greyish color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within regions.
T4-17|nb|<name>|Storbregneskog
T4-17|nb|Fysiognomi|Åpne eller skyggefulle, frodige skoger med høy produksjon. Feltsjikt med store bregner og, i de tetteste utformingene, med bunn som nesten helt er dekket av et tjukt bregnestrølag. Finnes som storbregne-granskog i granas utbredelseområde og som storbregnebjørkeskog på Vestlandet, i Nord- Norge og i fjell-skogen. Storbregne-eike- eller bøkeskog dekker svært små arealer. Innslag av gråor i yngre hogstklasser, selje i N, er vanlig.
T4-17|nb|Økologisk karakteristikk|Permanent tilførsel av oksygenrikt sigevann; vannbevegelse parallell med markoverflata (kildevannspåvirkning). Store bregner dominerer, noen ganger nesten som reinbestander av skogburkne eller fjellburkne (mest i NB) eller smørtelg (O2–O3). Arter fra blåbærskog (T4-C-1) og svak lågurtskog (T4-C-2) inngår sammen med arter som begunstiges av eller krever kildevannspåvirkning. Forekommer på kalkfattig berggrunn, i kontinentale strøk mest som smale belter i søkk, langs bekkesig etc., i oseaniske områder noen ganger arealdekkende over større områder. Jorda er oftest et podsolprofil med en lett bregnestrøhumus.
T4-17|nb|Terreng- og flyfotokarakteristikk|I forsenkninger og slake lier, særlig i skyggefulle nordhellinger; i mindre grad begrenset til tydelige forsenkninger i oseaniske områder. Farge varierer med dominerende treslag og tresjiktstetthet. Storbregnedominans gir smaragdgrønn eller oftest mørk grønn farge. Grandominans (mørkegrønn) skilles lett fra bjørkedominans (reinere grønn). Konsistent tekstur og farge.
T4-17|en|<name>|Intermediately lime-rich tall-herb forest
T4-17|en|Physiognomy|Open or shady, lush forests with high production. Field layer with large ferns and, in the densest designs, with a bottom that is almost completely covered by a thick layer of fern litter. Available as large fern spruce forest in the spruce distribution area and as large fern birch forest in western Norway, in northern Norway and in the mountain forest. Large fern-oak or beech forest covers very small areas. Elements of gray alder in younger felling classes, willow in N, are common.
T4-17|en|Ecological characteristics|Permanent supply of oxygen-rich leachate; water movement parallel to the ground surface (spring water impact). Large ferns dominate, sometimes almost as reindeer populations of forest burkne or mountain burkne (mostly in NB) or butter algae (O2 – O3). Species from blueberry forest (T4-C-1) and weak low-grass forest (T4-C-2) are included together with species that benefit from or require spring water exposure. Occurs on calcareous bedrock, in continental areas mostly as narrow belts in depressions, along brooks, etc., in oceanic areas sometimes covering large areas. The soil is most often a podsol profile with a light fern litter humus.
T4-17|en|Terrain and aerial photo characteristics|In depressions and gentle slopes, especially in shady northern slopes; to a lesser extent limited to clear depressions in oceanic areas. Color varies with dominant wood species and wood layer density. Large fern dominance gives emerald green or most often dark green color. Grandominance (dark green) is easily distinguished from birch dominance (purer green). Consistent texture and color.
T4-18|nb|<name>|Høgstaudeskog
T4-18|nb|Fysiognomi|Åpne eller skyggefulle, svært frodige og høyproduktive skoger. Feltsjikt med opptil mannshøye urter, gras og bregner. Finnes som høgstaudegranskog i granskogsregionen og ellers som høgstaudebjørkeskog på Vestlandet, i Nord-Norge og i fjellskogen. T4- C-18 omfatter også kalkrike, fuktige edellauvskoger dominert av ask, alm eller gråor i BN og SB. Yngre suksesjonsstadier i SB og MB kan ha rikelig med gråor. Betydelig innslag av selje i No og Tr.
T4-18|nb|Økologisk karakteristikk|Kjennetegnet ved permanent tilførsel av oksygen- og kalkrikt sigevann og vannbevegelse parallelt med markoverflata (kildevannspåvirkning). Artsutvalget, inkludert dominansforholdene, varierer mye uten at det er mulig å påvise økologiske forskjeller, men den regionale variasjonen er stor. I kontinentale strøk mest som smale belter i søkk, langs bekkesig etc., i oseaniske områder noen ganger arealdekkende over større flater, typisk i lisider. Forekommer på kalkrik berggrunn og har brunjordsprofil. 
T4-18|nb|Terreng- og flyfotokarakteristikk|Utbredt i forsenkninger eller slake partier, særlig i skyggefulle nordhellinger; jo mer oseanisk klima, desto mindre grad begrenset til tydelige forsenkninger. Farge varierer avhengig av dominerende treslag og tresjiktstetthet, men er ofte smaragdgrønn eller oftest mørkt grønn ved høyt innslag av høgstauder i feltsjiktet. Grandominans (mørkegrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-18|en|<name>|Strongly lime-rich tall-herb forest
T4-18|en|Physiognomy|Open or shady, very lush and highly productive forests. Field layer with up to man-high herbs, grass and ferns. Available as high-perennial spruce forest in the spruce forest region and otherwise as high-perennial birch forest in western Norway, northern Norway and in the mountain forest. T4- C-18 also includes calcareous, moist noble deciduous forests dominated by ash, elm or gray alder in BN and SB. Younger stages of succession in SB and MB may have plenty of gray alder. Significant element of willow in No and Tr.
T4-18|en|Ecological characteristics|Characterized by permanent supply of oxygen- and calcareous leachate and water movement parallel to the ground surface (spring water impact). The species selection, including the dominance conditions, varies a lot without it being possible to detect ecological differences, but the regional variation is large. In continental areas mostly as narrow belts in depressions, along brooks, etc., in oceanic areas sometimes covering large areas, typically in slopes. Occurs on calcareous bedrock and has a brown soil profile.
T4-18|en|Terrain and aerial photo characteristics|Widespread in depressions or gentle sections, especially in shady northern slopes; the more oceanic the climate, the less limited to clear depressions. Color varies depending on the dominant tree species and tree layer density, but is often emerald green or most often dark green with a high proportion of perennials in the field layer. Grandominance (dark green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-19|nb|<name>|Litt tørkeutsatt høgstaudeskog
